15559,2.62,-16084,72,-96
15573,2.64,-16228,164,-268
15587,2.62,-15840,48,-296
15601,2.64,-15688,-60,-332
15615,2.62,-15632,212,-192
15629,2.62,-15724,28,-88
15643,2.62,-15652,96,-152
15657,2.62,-15872,72,-292
15671,2.62,-15448,-12,-184
15685,2.62,-15728,92,-328
15699,2.64,-15748,-36,-204
15713,2.64,-15660,32,-180
15727,2.62,-15672,0,-88
15741,2.64,-15784,28,-184
15755,2.64,-15732,-36,-108
15769,2.62,-15652,-20,-224
15783,2.64,-15840,40,-388
15797,2.62,-15460,20,-28
15811,2.64,-15724,56,96
15825,2.64,-15844,-16,-124
15839,2.64,-15684,-56,-248
15853,2.62,-15728,68,-252
15867,2.62,-15840,-40,-152
15881,2.64,-15728,-48,-208
15895,2.62,-15648,88,-240
15909,2.62,-15864,32,-104
15923,2.64,-15696,-72,-276
15937,2.62,-15688,48,-204
15951,2.62,-15776,-60,-192
15965,2.62,-15744,-12,-284
15979,2.62,-15812,96,-140
15993,2.62,-15792,16,-292
16007,2.64,-15680,60,-256
16021,2.64,-15680,60,-340
16035,2.64,-15728,0,-148
16049,2.62,-15724,56,-136
16063,2.64,-15700,100,-336
16077,2.62,-15888,-60,-248
16091,2.62,-15632,-28,-288
16105,2.62,-15716,28,-292
16119,2.62,-15804,72,-340
16133,2.62,-15656,-8,-168
16147,2.62,-15736,124,-196
16161,2.62,-15784,0,-180
16175,2.62,-15684,68,-288
16189,2.62,-15648,84,-316
16203,2.62,-15956,-12,52
16217,2.62,-15764,-36,-324
16231,2.64,-15740,80,-136
16245,2.64,-15732,32,-332
16259,2.64,-15632,20,-168
16273,2.64,-15764,24,-224
16287,2.62,-15780,136,-216
16301,2.62,-15596,112,-492
16315,2.64,-15812,64,-152
16329,2.62,-15692,-12,-72
16343,2.62,-15688,124,-220
16357,2.62,-15796,68,-140
16371,2.62,-15604,128,-408
16385,2.62,-15632,76,-300
16399,2.62,-15872,-48,-236
16413,2.64,-15780,-72,-164
16427,2.62,-15720,56,-116
16441,2.62,-15872,-108,-128
